category,type,content,options,answer,explanation,difficulty
数据通信网,多选,同轴电缆分为（　）两种类型。,A.基带同轴电缆(阻抗50Ω)$B.宽带同轴电缆(阻抗75Ω)$C.宽带同轴电缆(阻抗65Ω)$D.基带同轴电缆(阻抗75Ω),AB,"同轴电缆按传输信号类型和特征阻抗分为两种：基带同轴电缆阻抗50Ω，用于传输数字信号（如早期以太网）；宽带同轴电缆阻抗75Ω，用于传输模拟信号（如有线电视CATV）。65Ω不是标准阻抗值。记忆口诀：基带50传数字，宽带75传模拟。",2
数据通信网,多选,虚拟网VLAN可以有多种划分方式，常用的划分方式有（　）。,A.基于交换机端口$B.基于网卡的MAC地址$C.基于网络层地址$D.基于用户,ABC,"基于交换机端口是最基本最简单的划分方式；基于MAC地址的优势是用户设备物理移动时无需重配；基于网络层地址（IP子网）可按网络层信息逻辑分组。基于用户不是独立技术划分方式，属于更高级的策略组合划分范畴。",3
数据通信网,多选,作为网络层设备的路由器，具有的主要特性包括（　）。,A.路由选择$B.限制广播$C.数据包过滤$D.两台路由器直连接口间的数据转发,ABCD,"路由选择是路由器最核心功能，通过路由表和路由协议为数据包寻址。路由器默认不转发广播包，能隔离广播域遏制广播风暴。现代路由器具备ACL等安全功能对数据包过滤。直连路由使路由器能识别直连网段并转发数据包，是实现网络互联互通的基础。四项均为路由器主要特性。",4
数据通信网,多选,计算机网络的发展历史，可以概括为面向终端的（　）三个阶段。,A.计算机网络$B.计算机—计算机网络$C.开放式标准化网络$D.军事网络,ABC,"第一阶段（50-60年代）：面向终端的计算机网络，单主机连多个终端；第二阶段（60-70年代末）：计算机—计算机网络，多台独立计算机直接通信，ARPANET为代表；第三阶段（80年代后）：开放式标准化网络，ISO制定OSI参考模型，TCP/IP成为实际标准。军事网络是ARPANET的应用背景而非标准阶段名称。",2
数据通信网,多选,局域网常用的拓扑结构有（　）。,A.总线型$B.星型$C.环型$D.线型,ABC,"总线型所有设备共享公共传输介质（如早期10Base-2以太网）；星型所有设备通过独立线路连接中央节点（如交换机），是当前最主流的局域网拓扑；环型设备首尾相连形成闭合环路（如令牌环网）。标准学术名称中不存在线型拓扑，总线型在物理上虽呈直线但标准名称为Bus。",2
数据通信网,多选,ATM模型分为三个功能层，由低到高依次是（　）。,A.ATM物理层$B.ATM层$C.ATM适配层$D.ATM传输层,ABC,"ATM拥有独立的协议参考模型，由低到高为：ATM物理层（处理比特流物理传输，定义介质电气光学特性）；ATM层（核心层，负责信元交换、选路、复用解复用、信元头部处理）；ATM适配层AAL（将上层变长数据分割适配成ATM信元格式，目的地再重组）。ATM标准架构中不存在ATM传输层。",3
数据通信网,多选,下列关于VLAN的说法中正确的有（　）。,A.隔离广播域$B.相互间通信要通过路由器$C.可以限制网上的计算机互相访问的权限$D.只能在同一个物理网络上的主机进行逻辑分组,ABC,"VLAN最基本功能是将物理局域网在逻辑上划分成多个广播域，遏制广播风暴。VLAN在二层实现隔离，不同VLAN间默认无法互通，需借助路由器或三层交换机。通过VLAN划分可限制特定部门或用户组间的互相访问增强安全性。VLAN核心优势是打破物理位置限制，同一VLAN的主机可分布在不同楼层、不同交换机。",3
数据通信网,多选,数据通信系统的主要技术指标包括（　）。,A.比特率和波特率$B.误码率和吞吐量$C.信道的传播延迟$D.传输介质,ABC,"比特率和波特率是衡量传输效率速度的关键指标。误码率衡量传输可靠性，吞吐量反映有效数据总量。传播延迟评估通信实时性和响应速度。传输介质（光纤、双绞线等）是物理组成部分和信号传输载体，不是用来量化评估系统性能的技术指标。",2
数据通信网,多选,以下说法正确的有（　）。,A.网络节点和链路的几何位置就是网络的拓扑结构$B.转换节点在网络中只是转换和交换所传送的信息，而访问节点是信息交换的源节点和目标节点$C.计算机网络的拓扑结构主要是指通信子网的拓扑结构$D.环型拓扑结构的实时性是最差的，常使用令牌环来决定哪个节点可以访问系统,ABC,"拓扑结构是网络节点和链路的物理或逻辑连接方式及空间几何排列。转换节点（路由器、交换机）负责转发交换数据，访问节点（计算机、服务器）是数据源点或目标点。网络拓扑主要研究通信子网（负责数据传输转发交换）的连接结构。D错误：环型拓扑数据传输方向固定延迟可预测，实时性较好而非最差；后半句关于令牌环无冲突的描述正确，但前半句事实性错误导致整个选项不成立。",4
数据通信网,多选,数据传输方式依其数据在传输线上原样不变传输还是调制变样后再传输，可分为（　）。,A.基带传输$B.频带传输$C.宽带传输$D.并行传输,AB,"基带传输将数字信号原样不变直接在信道上传输，不进行频率调制，通常用于近距离局域网。频带传输将数字信号通过调制器变为模拟信号再传输，适合远距离通信。宽带传输是频带传输的一种应用扩展形式，不属于最基础的二分法分类。并行传输是按数据位传输方式（多位同时并行）划分，与串行传输对应，不是按信号是否调制分类。最严谨的分类为基带传输和频带传输。",3
